state,district,year,season,previous_season,soil_type,temperature,humidity,rainfall,previous_crop,recommended_crop,source
Andhra Pradesh,Anantapur,2019,Kharif,Rabi,Red,29.0,79.5,863.4,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2019,Kharif,Rabi,Red,28.0,77.0,709.7,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2019,Kharif,Rabi,Red,28.5,83.3,810.5,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2019,Kharif,Rabi,Red,27.9,80.8,1007.4,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2019,Kharif,Rabi,Red,30.2,73.4,708.6,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2020,Rabi,Kharif,Red,25.4,67.3,223.2,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2020,Rabi,Kharif,Red,25.0,55.3,219.4,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2020,Rabi,Kharif,Red,24.9,61.3,322.7,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2020,Rabi,Kharif,Red,23.9,63.7,264.3,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2020,Rabi,Kharif,Red,26.2,60.7,304.4,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2020,Kharif,Rabi,Red,28.1,75.1,997.8,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2020,Kharif,Rabi,Red,28.3,76.2,942.9,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2020,Kharif,Rabi,Red,27.7,78.3,1025.8,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2020,Kharif,Rabi,Red,29.7,74.3,1231.7,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2020,Kharif,Rabi,Red,26.1,77.5,1015.5,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2021,Rabi,Kharif,Red,25.0,63.5,212.0,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2021,Rabi,Kharif,Red,25.8,66.1,208.4,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2021,Rabi,Kharif,Red,25.8,65.9,260.9,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2021,Rabi,Kharif,Red,25.6,62.5,213.0,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2021,Rabi,Kharif,Red,25.7,66.8,231.9,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2021,Kharif,Rabi,Red,28.2,81.8,763.0,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2021,Kharif,Rabi,Red,28.7,77.4,810.0,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2021,Kharif,Rabi,Red,29.2,80.5,939.5,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2021,Kharif,Rabi,Red,29.4,78.1,923.0,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2021,Kharif,Rabi,Red,27.8,79.0,821.0,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2022,Rabi,Kharif,Red,25.2,71.3,193.3,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2022,Rabi,Kharif,Red,24.9,68.5,254.6,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2022,Rabi,Kharif,Red,26.4,66.9,227.2,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2022,Rabi,Kharif,Red,25.1,65.2,204.5,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2022,Rabi,Kharif,Red,26.6,64.6,199.4,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2022,Kharif,Rabi,Red,28.5,79.2,750.1,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2022,Kharif,Rabi,Red,28.0,78.7,849.5,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2022,Kharif,Rabi,Red,28.4,76.6,848.0,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2022,Kharif,Rabi,Red,27.4,73.8,731.1,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2022,Kharif,Rabi,Red,28.6,78.9,1000.8,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2023,Rabi,Kharif,Red,25.4,62.0,247.5,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2023,Rabi,Kharif,Red,25.2,66.0,217.4,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2023,Rabi,Kharif,Red,25.8,69.6,244.1,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2023,Rabi,Kharif,Red,25.7,67.1,233.2,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2023,Rabi,Kharif,Red,25.6,65.0,251.8,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2023,Kharif,Rabi,Red,27.6,78.1,960.1,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2023,Kharif,Rabi,Red,29.9,80.9,1181.9,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2023,Kharif,Rabi,Red,27.6,80.6,917.9,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2023,Kharif,Rabi,Red,30.6,75.6,780.8,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2023,Kharif,Rabi,Red,27.8,71.6,822.9,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2024,Rabi,Kharif,Red,25.9,70.6,233.7,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2024,Rabi,Kharif,Red,25.1,62.3,219.6,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2024,Rabi,Kharif,Red,24.5,70.5,240.7,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2024,Rabi,Kharif,Red,25.2,59.9,246.0,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2024,Rabi,Kharif,Red,25.5,68.7,155.6,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2024,Kharif,Rabi,Red,28.0,78.0,741.4,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2024,Kharif,Rabi,Red,28.1,79.9,618.3,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2024,Kharif,Rabi,Red,28.4,78.4,793.0,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2024,Kharif,Rabi,Red,29.3,74.6,566.8,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2024,Kharif,Rabi,Red,29.9,79.0,653.6,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2012,Rabi,Kharif,Red,26.5,65.2,349.4,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2012,Rabi,Kharif,Red,27.0,64.3,305.8,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2012,Rabi,Kharif,Red,26.1,69.1,228.3,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2012,Rabi,Kharif,Red,26.1,68.2,196.5,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2012,Rabi,Kharif,Red,24.6,58.9,256.1,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2012,Kharif,Rabi,Red,29.3,82.5,971.5,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2012,Kharif,Rabi,Red,30.2,73.9,715.3,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2012,Kharif,Rabi,Red,28.5,79.2,956.1,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2012,Kharif,Rabi,Red,26.5,77.7,772.8,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2012,Kharif,Rabi,Red,29.2,79.1,825.3,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2013,Rabi,Kharif,Red,24.8,67.9,179.9,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2013,Rabi,Kharif,Red,25.3,63.4,186.0,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2013,Rabi,Kharif,Red,24.8,61.9,193.6,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2013,Rabi,Kharif,Red,23.9,70.9,212.2,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2013,Rabi,Kharif,Red,24.3,65.6,207.6,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2013,Kharif,Rabi,Red,27.6,79.8,846.4,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2013,Kharif,Rabi,Red,27.3,76.3,728.7,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2013,Kharif,Rabi,Red,25.6,73.5,915.9,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2013,Kharif,Rabi,Red,29.5,77.3,825.8,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2013,Kharif,Rabi,Red,28.2,87.2,887.7,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2014,Rabi,Kharif,Red,23.6,65.6,196.4,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2014,Rabi,Kharif,Red,23.8,63.1,185.6,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2014,Rabi,Kharif,Red,26.3,67.6,221.3,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2014,Rabi,Kharif,Red,26.1,65.2,192.9,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2014,Rabi,Kharif,Red,26.1,66.6,187.1,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2014,Kharif,Rabi,Red,27.7,75.4,632.1,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2014,Kharif,Rabi,Red,28.9,83.7,630.2,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2014,Kharif,Rabi,Red,28.5,76.0,739.3,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2014,Kharif,Rabi,Red,27.3,75.4,803.4,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2014,Kharif,Rabi,Red,27.1,78.8,791.6,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2015,Rabi,Kharif,Red,24.5,67.3,235.0,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2015,Rabi,Kharif,Red,24.2,65.3,243.2,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2015,Rabi,Kharif,Red,23.6,66.6,196.8,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2015,Rabi,Kharif,Red,25.4,62.7,159.4,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2015,Rabi,Kharif,Red,23.7,65.1,227.1,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2015,Kharif,Rabi,Red,27.1,79.9,590.7,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2015,Kharif,Rabi,Red,27.9,74.4,709.8,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2015,Kharif,Rabi,Red,28.0,75.4,741.4,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2015,Kharif,Rabi,Red,29.0,76.3,885.4,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2015,Kharif,Rabi,Red,26.8,79.6,956.9,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2016,Rabi,Kharif,Red,25.5,64.4,167.1,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2016,Rabi,Kharif,Red,24.5,65.3,154.6,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2016,Rabi,Kharif,Red,26.0,65.8,166.3,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2016,Rabi,Kharif,Red,24.7,63.5,148.0,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2016,Rabi,Kharif,Red,25.3,63.7,165.1,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2016,Kharif,Rabi,Red,30.1,80.6,541.9,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2016,Kharif,Rabi,Red,29.2,76.8,395.6,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2016,Kharif,Rabi,Red,27.0,72.4,539.7,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2016,Kharif,Rabi,Red,28.0,83.0,597.7,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2016,Kharif,Rabi,Red,27.8,80.5,380.8,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2017,Rabi,Kharif,Red,24.8,68.4,243.1,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2017,Rabi,Kharif,Red,25.6,66.9,310.2,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2017,Rabi,Kharif,Red,26.1,65.7,215.4,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2017,Rabi,Kharif,Red,25.3,67.5,201.7,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2017,Rabi,Kharif,Red,26.0,63.6,248.0,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2017,Kharif,Rabi,Red,29.3,81.1,769.2,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2017,Kharif,Rabi,Red,28.7,75.1,777.4,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2017,Kharif,Rabi,Red,29.3,80.3,717.7,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2017,Kharif,Rabi,Red,29.8,82.1,884.6,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2017,Kharif,Rabi,Red,30.8,75.7,677.4,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2018,Rabi,Kharif,Red,26.9,64.8,184.4,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2018,Rabi,Kharif,Red,25.5,72.3,180.4,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2018,Rabi,Kharif,Red,26.5,67.2,189.7,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2018,Rabi,Kharif,Red,26.6,62.6,189.5,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2018,Rabi,Kharif,Red,27.9,69.0,219.3,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2018,Kharif,Rabi,Red,28.9,75.0,625.1,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Chittoor,2018,Kharif,Rabi,Red,29.5,81.3,475.4,chickpea,groundnut,DES_ICAR_IMD_MultiSource
