path,filename,ground_truth_group,source_category,description,entropy,pixel_std,stage1_passed,stage1_status,e11_top1_class,e11_top1_conf,e11_top1_margin,stage3_passed,stage3_status,existing_gate_accepted,e11_latency_ms,yolo_max_conf,yolo_detections_conf010,yolo_detections_conf025,yolo_detections_conf035,yolo_detections_conf050,yolo_accepted_conf025,yolo_accepted_conf035,yolo_accepted_conf050,yolo_latency_ms,yolo_boxes_json
C:\Users\Aditya\.cache\kagglehub\datasets\rahimanshu\ccmt-plant-disease-dataset\versions\1\CCMT_FInal Dataset\Maize_leaf spot\leaf spot1002_.jpg,leaf spot1002_.jpg,VALID_SUPPORTED_LEAF,Field_Corn_CCMT,Field Corn Gray Leaf Spot (CCMT Uganda),7.0,35.003,True,PASSED,Corn Gray Leaf Spot,0.9932,0.9894,True,PASSED,True,12.77,0.208,4,0,0,0,False,False,False,15.77,"[{""conf"": 0.208, ""xyxy"": [193.1, 0.0, 258.9, 44.2]}, {""conf"": 0.1878, ""xyxy"": [120.7, 265.6, 296.6, 400.0]}, {""conf"": 0.1449, ""xyxy"": [202.3, 304.0, 342.5, 400.0]}, {""conf"": 0.1389, ""xyxy"": [0.0, 209.9, 59.5, 350.8]}]"
C:\Users\Aditya\.cache\kagglehub\datasets\nirmalsankalana\apple-leaf-disease-dataset\versions\2\data\scab\Train_1049.jpg,Train_1049.jpg,VALID_SUPPORTED_LEAF,Field_Apple_FGVC7,Field Apple Scab (FGVC7 Orchard),7.235,62.538,True,PASSED,Apple Scab,0.9828,0.9695,True,PASSED,True,34.49,0.8448,13,8,7,5,True,True,True,62.73,"[{""conf"": 0.8448, ""xyxy"": [0.0, 335.6, 409.2, 799.5]}, {""conf"": 0.8238, ""xyxy"": [1756.4, 735.6, 2048.0, 1365.0]}, {""conf"": 0.6795, ""xyxy"": [1522.9, 1048.1, 1788.9, 1364.4]}, {""conf"": 0.614, ""xyxy"": [1594.6, 170.8, 2048.0, 745.7]}, {""conf"": 0.6139, ""xyxy"": [1399.7, 234.8, 2043.2, 754.3]}]"
C:\Users\Aditya\.cache\kagglehub\datasets\thuanai1\fieldplant-dataset\versions\1\FieldPlant\train\Corn Gray leaf spot\Mais_Cercosporiose_-2-_jpg.rf.117b85e81d2fc749bd3c81d405999a22.jpg,Mais_Cercosporiose_-2-_jpg.rf.117b85e81d2fc749bd3c81d405999a22.jpg,VALID_SUPPORTED_LEAF,Field_Corn_FieldPlant,Field Corn GLS (FieldPlant),7.796,56.09,True,PASSED,Corn Gray Leaf Spot,0.8406,0.6841,True,PASSED,True,135.75,0.7464,19,6,2,1,True,True,True,128.3,"[{""conf"": 0.7464, ""xyxy"": [1691.7, 335.5, 2319.3, 1355.4]}, {""conf"": 0.4565, ""xyxy"": [2941.4, 417.3, 3849.2, 947.5]}, {""conf"": 0.3324, ""xyxy"": [1459.9, 96.1, 1795.0, 509.3]}, {""conf"": 0.2688, ""xyxy"": [4192.9, 0.0, 4351.5, 218.4]}, {""conf"": 0.2624, ""xyxy"": [1489.0, 0.0, 2355.8, 477.7]}]"
C:\Users\Aditya\.cache\kagglehub\datasets\nirmalsankalana\taiwan-tomato-leaves-dataset\versions\1\data\Train\health\h106.jpg,h106.jpg,VALID_SUPPORTED_LEAF,Field_Tomato_Taiwan,Field Tomato Healthy (Taiwan),7.712,53.153,True,PASSED,Tomato Healthy,0.9507,0.9095,True,PASSED,True,24.38,0.8128,15,3,3,2,True,True,True,22.08,"[{""conf"": 0.8128, ""xyxy"": [93.0, 14.1, 161.6, 72.4]}, {""conf"": 0.672, ""xyxy"": [101.4, 6.5, 117.7, 36.0]}, {""conf"": 0.4991, ""xyxy"": [65.3, 140.8, 130.6, 208.8]}, {""conf"": 0.2487, ""xyxy"": [116.3, 0.0, 185.6, 23.3]}, {""conf"": 0.1847, ""xyxy"": [163.8, 215.9, 178.2, 227.0]}]"
C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Potato___Early_blight\test_3023.jpg,test_3023.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Potato,PlantDoc Potato Early Blight in field,7.31,39.701,True,PASSED,Potato Late Blight,0.9887,0.9819,True,PASSED,True,21.92,0.9612,96,49,35,21,True,True,True,17.37,"[{""conf"": 0.9612, ""xyxy"": [775.8, 180.4, 934.8, 445.9]}, {""conf"": 0.9438, ""xyxy"": [561.8, 302.3, 770.0, 453.1]}, {""conf"": 0.9361, ""xyxy"": [363.1, 469.7, 679.7, 741.5]}, {""conf"": 0.9014, ""xyxy"": [552.7, 449.3, 758.4, 598.9]}, {""conf"": 0.8982, ""xyxy"": [488.6, 158.6, 688.6, 331.6]}]"
C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\test_IMG_42231.jpg,test_IMG_42231.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Corn,PlantDoc Corn GLS in field,7.653,53.102,True,PASSED,Corn Gray Leaf Spot,0.9881,0.9794,True,PASSED,True,132.51,0.5956,9,3,1,1,True,True,True,115.27,"[{""conf"": 0.5956, ""xyxy"": [458.3, 238.6, 1592.2, 872.6]}, {""conf"": 0.2753, ""xyxy"": [2188.3, 478.0, 2712.2, 800.6]}, {""conf"": 0.2544, ""xyxy"": [2637.8, 336.6, 2925.2, 953.8]}, {""conf"": 0.1864, ""xyxy"": [1101.5, 358.6, 1586.6, 866.3]}, {""conf"": 0.1801, ""xyxy"": [2918.6, 376.0, 3263.5, 680.7]}]"
C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Tomato___healthy\test_1684.jpg,test_1684.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Tomato,PlantDoc Tomato Healthy in field,6.305,38.065,True,PASSED,Tomato Healthy,0.9224,0.8457,True,PASSED,True,17.83,0.9418,29,17,11,7,True,True,True,54.39,"[{""conf"": 0.9418, ""xyxy"": [327.0, 440.2, 393.0, 492.2]}, {""conf"": 0.903, ""xyxy"": [232.6, 460.1, 306.3, 519.2]}, {""conf"": 0.8962, ""xyxy"": [0.0, 386.0, 78.0, 454.8]}, {""conf"": 0.5953, ""xyxy"": [165.5, 87.5, 352.5, 320.1]}, {""conf"": 0.5853, ""xyxy"": [324.3, 161.1, 536.0, 380.2]}]"
C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Apple___Apple_scab\test_052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,test_052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Apple,PlantDoc Apple Scab in field,7.083,34.114,True,PASSED,Apple Scab,0.9845,0.9767,True,PASSED,True,12.1,0.6298,5,4,3,1,True,True,True,13.39,"[{""conf"": 0.6298, ""xyxy"": [410.6, 2.1, 496.0, 182.6]}, {""conf"": 0.4012, ""xyxy"": [471.5, 316.4, 496.0, 348.0]}, {""conf"": 0.3683, ""xyxy"": [282.2, 0.2, 425.9, 76.3]}, {""conf"": 0.2706, ""xyxy"": [422.4, 179.2, 451.8, 217.8]}, {""conf"": 0.1721, ""xyxy"": [278.4, 59.7, 450.5, 204.0]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Soybean___healthy\00247bff-26dc-445a-8d11-0b2592787ec3___RS_HL 6869.JPG,00247bff-26dc-445a-8d11-0b2592787ec3___RS_HL 6869.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Soybean,PlantVillage Soybean Healthy leaf,6.118,39.41,True,PASSED,Potato Healthy,0.8035,0.6381,True,PASSED,True,10.69,0.1296,1,0,0,0,False,False,False,12.9,"[{""conf"": 0.1296, ""xyxy"": [111.6, 241.1, 127.3, 255.9]}]"
C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Soybean___healthy\test_07feb_ma_sbr3.JPG.jpg,test_07feb_ma_sbr3.JPG.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Soybean,PlantDoc Soybean Healthy leaf,6.138,55.471,True,PASSED,Potato Early Blight,0.6365,0.3789,True,PASSED,True,22.68,0.9138,5,3,3,1,True,True,True,17.14,"[{""conf"": 0.9138, ""xyxy"": [0.1, 529.2, 86.4, 864.0]}, {""conf"": 0.472, ""xyxy"": [0.1, 310.0, 165.8, 483.0]}, {""conf"": 0.4481, ""xyxy"": [1.0, 0.0, 593.8, 461.9]}, {""conf"": 0.1814, ""xyxy"": [194.9, 0.2, 595.4, 214.7]}, {""conf"": 0.1414, ""xyxy"": [0.2, 309.4, 162.5, 562.4]}]"
"C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Pepper,_bell___healthy\002f87b7-e1a5-49e5-a422-bb423630ded5___JR_HL 8068.JPG",002f87b7-e1a5-49e5-a422-bb423630ded5___JR_HL 8068.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Pepper,PlantVillage Bell Pepper Healthy leaf,7.136,37.588,True,PASSED,Apple Healthy,0.6261,0.4196,True,PASSED,True,13.22,0.0,0,0,0,0,False,False,False,14.73,[]
"C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Pepper,_bell___Bacterial_spot\03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot 8925.JPG",03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot 8925.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Pepper,PlantVillage Bell Pepper Bacterial Spot leaf,7.174,47.076,True,PASSED,Potato Early Blight,0.8733,0.8071,True,PASSED,True,12.09,0.1103,1,0,0,0,False,False,False,22.41,"[{""conf"": 0.1103, ""xyxy"": [183.0, 38.1, 250.3, 131.2]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Strawberry___healthy\01e591c9-e3e7-4edc-8211-13081f4d5e7a___RS_HL 1979.JPG,01e591c9-e3e7-4edc-8211-13081f4d5e7a___RS_HL 1979.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Strawberry,PlantVillage Strawberry Healthy leaf,7.255,43.374,True,PASSED,Apple Healthy,0.6311,0.3441,True,PASSED,True,13.34,0.1251,2,0,0,0,False,False,False,14.82,"[{""conf"": 0.1251, ""xyxy"": [224.4, 138.1, 239.7, 165.2]}, {""conf"": 0.1037, ""xyxy"": [156.0, 88.3, 238.6, 195.4]}]"
C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Strawberry___healthy\test_strawberry-leaf--stock-photo-1431216.jpg,test_strawberry-leaf--stock-photo-1431216.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Strawberry,PlantDoc Strawberry Healthy leaf,4.519,72.262,True,PASSED,Tomato Yellow Leaf Curl Virus,0.6187,0.3529,True,PASSED,True,23.37,0.657,18,6,5,1,True,True,True,20.4,"[{""conf"": 0.657, ""xyxy"": [84.0, 518.5, 637.7, 962.4]}, {""conf"": 0.4871, ""xyxy"": [635.4, 605.8, 1093.7, 1061.7]}, {""conf"": 0.456, ""xyxy"": [638.3, 257.6, 910.3, 740.5]}, {""conf"": 0.4111, ""xyxy"": [1007.8, 677.4, 1111.7, 725.2]}, {""conf"": 0.3505, ""xyxy"": [900.5, 621.1, 966.9, 655.6]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Grape___healthy\03027791-26bb-4c46-960e-8df76e27042c___Mt.N.V_HL 6070.JPG,03027791-26bb-4c46-960e-8df76e27042c___Mt.N.V_HL 6070.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Grape,PlantVillage Grape Healthy leaf,6.902,41.519,True,PASSED,Tomato Healthy,0.8008,0.7063,True,PASSED,True,11.46,0.4403,2,1,1,0,True,True,False,14.87,"[{""conf"": 0.4403, ""xyxy"": [137.5, 138.5, 237.4, 237.2]}, {""conf"": 0.1868, ""xyxy"": [139.5, 76.8, 230.5, 172.9]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Grape___Black_rot\03423777-68b9-430e-9787-fbd776740881___FAM_B.Rot 0346.JPG,03423777-68b9-430e-9787-fbd776740881___FAM_B.Rot 0346.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Grape,PlantVillage Grape Black Rot leaf,7.438,57.156,True,PASSED,Tomato Healthy,0.272,0.0177,False,REJECTED_UNCERTAIN,False,15.3,0.3182,7,1,0,0,True,False,False,14.84,"[{""conf"": 0.3182, ""xyxy"": [118.3, 144.6, 225.7, 245.6]}, {""conf"": 0.2436, ""xyxy"": [15.5, 177.4, 40.3, 214.9]}, {""conf"": 0.2043, ""xyxy"": [84.6, 4.5, 144.0, 92.8]}, {""conf"": 0.1499, ""xyxy"": [10.3, 131.7, 30.9, 146.9]}, {""conf"": 0.1184, ""xyxy"": [84.1, 29.5, 141.0, 95.0]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Peach___healthy\017d3d86-12bf-4280-8929-10dcd504ac46___Rutg._HL 3671.JPG,017d3d86-12bf-4280-8929-10dcd504ac46___Rutg._HL 3671.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Peach,PlantVillage Peach Healthy leaf,7.246,45.048,True,PASSED,Apple Healthy,0.9081,0.8774,True,PASSED,True,11.52,0.0,0,0,0,0,False,False,False,14.01,[]
C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Peach___healthy\test_00pe.jpg,test_00pe.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Peach,PlantDoc Peach Healthy leaf,7.223,54.097,True,PASSED,Apple Healthy,0.9631,0.941,True,PASSED,True,21.89,0.6134,26,7,4,1,True,True,True,52.85,"[{""conf"": 0.6134, ""xyxy"": [447.7, 131.5, 640.7, 466.1]}, {""conf"": 0.4824, ""xyxy"": [528.6, 939.0, 560.0, 971.6]}, {""conf"": 0.4599, ""xyxy"": [621.5, 343.5, 718.7, 492.8]}, {""conf"": 0.3626, ""xyxy"": [640.6, 939.4, 671.1, 966.0]}, {""conf"": 0.3406, ""xyxy"": [437.2, 0.6, 638.3, 332.6]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Blueberry___healthy\00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Blueberry,PlantVillage Blueberry Healthy leaf,7.181,39.272,True,PASSED,Potato Healthy,0.5582,0.17,True,PASSED,True,12.38,0.0,0,0,0,0,False,False,False,13.94,[]
C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Blueberry___healthy\test_blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,test_blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Blueberry,PlantDoc Blueberry Healthy leaf,7.074,40.736,True,PASSED,Apple Scab,0.3057,0.0058,False,REJECTED_UNCERTAIN,False,14.99,0.8214,14,8,6,3,True,True,True,15.94,"[{""conf"": 0.8214, ""xyxy"": [0.3, 0.0, 105.8, 51.1]}, {""conf"": 0.7626, ""xyxy"": [82.0, 303.8, 325.1, 492.0]}, {""conf"": 0.5246, ""xyxy"": [0.0, 316.6, 74.3, 480.8]}, {""conf"": 0.4148, ""xyxy"": [0.7, 216.3, 120.9, 259.9]}, {""conf"": 0.3856, ""xyxy"": [74.5, 50.9, 371.5, 236.4]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Raspberry___healthy\020e14fb-6016-4d7f-b489-445e0021b58e___Mary_HL 6324.JPG,020e14fb-6016-4d7f-b489-445e0021b58e___Mary_HL 6324.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Raspberry,PlantVillage Raspberry Healthy leaf,7.046,52.404,True,PASSED,Apple Healthy,0.8325,0.7625,True,PASSED,True,12.64,0.8158,8,2,2,1,True,True,True,16.42,"[{""conf"": 0.8158, ""xyxy"": [200.7, 94.8, 243.2, 190.9]}, {""conf"": 0.3614, ""xyxy"": [120.2, 43.9, 151.0, 80.4]}, {""conf"": 0.2315, ""xyxy"": [86.3, 34.4, 100.0, 44.6]}, {""conf"": 0.1193, ""xyxy"": [188.4, 57.3, 229.0, 126.6]}, {""conf"": 0.1168, ""xyxy"": [150.8, 56.4, 201.5, 173.6]}]"
C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Raspberry___healthy\test_depositphotos_1323264-Raspberry-leaf-on-white.jpg,test_depositphotos_1323264-Raspberry-leaf-on-white.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Raspberry,PlantDoc Raspberry Healthy leaf,5.02,72.588,True,PASSED,Apple Healthy,0.9202,0.889,True,PASSED,True,23.88,0.6386,17,7,2,2,True,True,True,72.88,"[{""conf"": 0.6386, ""xyxy"": [618.4, 571.7, 706.3, 706.7]}, {""conf"": 0.5887, ""xyxy"": [791.0, 569.7, 949.3, 675.0]}, {""conf"": 0.3392, ""xyxy"": [252.1, 352.6, 518.2, 694.3]}, {""conf"": 0.3114, ""xyxy"": [722.9, 471.8, 873.9, 600.6]}, {""conf"": 0.2847, ""xyxy"": [486.5, 486.7, 641.4, 692.7]}]"
C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\waitlist-banner-es.png,waitlist-banner-es.png,NOT_LEAF,Screenshot_UI,Website Banner Spanish (yields Apple Cedar Rust on E11),1.733,57.26,False,REJECTED_LOW_INFO,Apple Cedar Rust,0.3314,0.1695,False,REJECTED_UNCERTAIN,False,16.68,0.0,0,0,0,0,False,False,False,58.93,[]
C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\waitlist-banner-ko.png,waitlist-banner-ko.png,NOT_LEAF,Screenshot_UI,Website Banner Korean (yields Apple Cedar Rust on E11),1.678,56.774,False,REJECTED_LOW_INFO,Apple Cedar Rust,0.2332,0.0047,False,REJECTED_UNCERTAIN,False,17.07,0.0,0,0,0,0,False,False,False,17.03,[]
C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\social-preview.png,social-preview.png,NOT_LEAF,Screenshot_UI,Social Preview Website Banner (yields Apple Healthy on E11),1.144,78.127,False,REJECTED_LOW_INFO,Apple Healthy,0.2316,0.0148,False,REJECTED_UNCERTAIN,False,17.65,0.3504,2,1,1,0,True,True,False,69.3,"[{""conf"": 0.3504, ""xyxy"": [861.2, 208.7, 1184.8, 445.4]}, {""conf"": 0.2097, ""xyxy"": [901.4, 106.9, 1182.7, 279.2]}]"
C:\VScode\GlobeTrotter_Hackathon\frontend\public\assets\veya-logo.png,veya-logo.png,NOT_LEAF,Screenshot_UI,Web Application Logo (yields Apple Cedar Rust on E11),6.574,60.579,True,PASSED,Apple Cedar Rust,0.4445,0.2655,False,REJECTED_UNCERTAIN,False,44.76,0.1414,1,0,0,0,False,False,False,35.84,"[{""conf"": 0.1414, ""xyxy"": [650.7, 188.1, 919.1, 334.7]}]"
C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\logo-dark.png,logo-dark.png,NOT_LEAF,Screenshot_UI,Dark Theme Web Logo (yields Tomato Healthy on E11),1.174,126.01,False,REJECTED_LOW_INFO,Tomato Healthy,0.3972,0.1877,False,REJECTED_UNCERTAIN,False,25.65,0.1172,1,0,0,0,False,False,False,28.32,"[{""conf"": 0.1172, ""xyxy"": [495.2, 400.4, 665.0, 496.3]}]"
C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\document_invoice_0.png,document_invoice_0.png,NOT_LEAF,Document_Text,Rendered Document Invoice 0,0.214,41.73,False,REJECTED_LOW_INFO,Corn Healthy,0.6572,0.4878,True,PASSED,False,13.42,0.0,0,0,0,0,False,False,False,15.16,[]
C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\document_invoice_1.png,document_invoice_1.png,NOT_LEAF,Document_Text,Rendered Document Invoice 1,0.202,40.166,False,REJECTED_LOW_INFO,Corn Healthy,0.6249,0.4426,True,PASSED,False,12.09,0.0,0,0,0,0,False,False,False,12.68,[]
