index,filename,path,category,source_category,description,gt_crop,raw_pred,top1_prob,top2_cls,top2_prob,margin,raw_correct,threshold_triggered,thresh_pred,thresh_correct
11,leaf spot1002_.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\rahimanshu\ccmt-plant-disease-dataset\versions\1\CCMT_FInal Dataset\Maize_leaf spot\leaf spot1002_.jpg,VALID_SUPPORTED_LEAF,Field_Corn_CCMT,Field Corn Gray Leaf Spot (CCMT Uganda),Corn,Corn,0.9994828701019287,Other,0.0003393286606296897,0.999143541441299,True,False,Corn,True
12,Train_1049.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\nirmalsankalana\apple-leaf-disease-dataset\versions\2\data\scab\Train_1049.jpg,VALID_SUPPORTED_LEAF,Field_Apple_FGVC7,Field Apple Scab (FGVC7 Orchard),Apple,Apple,0.998798131942749,Tomato,0.0005701113259419799,0.998228020616807,True,False,Apple,True
13,Mais_Cercosporiose_-2-_jpg.rf.117b85e81d2fc749bd3c81d405999a22.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\thuanai1\fieldplant-dataset\versions\1\FieldPlant\train\Corn Gray leaf spot\Mais_Cercosporiose_-2-_jpg.rf.117b85e81d2fc749bd3c81d405999a22.jpg,VALID_SUPPORTED_LEAF,Field_Corn_FieldPlant,Field Corn GLS (FieldPlant),Corn,Corn,0.9986963868141174,Other,0.0012185671366751194,0.9974778196774423,True,False,Corn,True
14,h106.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\nirmalsankalana\taiwan-tomato-leaves-dataset\versions\1\data\Train\health\h106.jpg,VALID_SUPPORTED_LEAF,Field_Tomato_Taiwan,Field Tomato Healthy (Taiwan),Tomato,Tomato,0.9990944862365723,Potato,0.00048442717525176704,0.9986100590613205,True,False,Tomato,True
15,test_3023.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Potato___Early_blight\test_3023.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Potato,PlantDoc Potato Early Blight in field,Potato,Tomato,0.6148862242698669,Potato,0.23371928930282593,0.381166934967041,False,False,Tomato,False
16,test_IMG_42231.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\test_IMG_42231.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Corn,PlantDoc Corn GLS in field,Corn,Corn,0.9991033673286438,Other,0.0006194528541527689,0.998483914474491,True,False,Corn,True
17,test_1684.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Tomato___healthy\test_1684.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Tomato,PlantDoc Tomato Healthy in field,Tomato,Tomato,0.9976403713226318,Other,0.002308533526957035,0.9953318377956748,True,False,Tomato,True
18,test_052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Apple___Apple_scab\test_052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Apple,PlantDoc Apple Scab in field,Apple,Apple,0.9878684282302856,Other,0.010608730837702751,0.9772596973925829,True,False,Apple,True
19,00247bff-26dc-445a-8d11-0b2592787ec3___RS_HL 6869.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Soybean___healthy\00247bff-26dc-445a-8d11-0b2592787ec3___RS_HL 6869.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Soybean,PlantVillage Soybean Healthy leaf,Other,Other,0.8168958425521851,Tomato,0.15333496034145355,0.6635608822107315,True,False,Other,True
20,test_07feb_ma_sbr3.JPG.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Soybean___healthy\test_07feb_ma_sbr3.JPG.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Soybean,PlantDoc Soybean Healthy leaf,Other,Apple,0.5941876769065857,Other,0.33852654695510864,0.25566112995147705,False,True,Other,True
21,002f87b7-e1a5-49e5-a422-bb423630ded5___JR_HL 8068.JPG,"C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Pepper,_bell___healthy\002f87b7-e1a5-49e5-a422-bb423630ded5___JR_HL 8068.JPG",VALID_UNSUPPORTED_LEAF,PlantVillage_Pepper,PlantVillage Bell Pepper Healthy leaf,Other,Other,0.996062695980072,Apple,0.0019417696166783571,0.9941209263633937,True,False,Other,True
22,03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot 8925.JPG,"C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Pepper,_bell___Bacterial_spot\03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot 8925.JPG",VALID_UNSUPPORTED_LEAF,PlantVillage_Pepper,PlantVillage Bell Pepper Bacterial Spot leaf,Other,Other,0.972051739692688,Potato,0.023590290918946266,0.9484614487737417,True,False,Other,True
23,01e591c9-e3e7-4edc-8211-13081f4d5e7a___RS_HL 1979.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Strawberry___healthy\01e591c9-e3e7-4edc-8211-13081f4d5e7a___RS_HL 1979.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Strawberry,PlantVillage Strawberry Healthy leaf,Other,Other,0.694085955619812,Apple,0.29824721813201904,0.39583873748779297,True,False,Other,True
24,test_strawberry-leaf--stock-photo-1431216.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Strawberry___healthy\test_strawberry-leaf--stock-photo-1431216.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Strawberry,PlantDoc Strawberry Healthy leaf,Other,Other,0.9653732776641846,Tomato,0.03405113145709038,0.9313221462070942,True,False,Other,True
25,03027791-26bb-4c46-960e-8df76e27042c___Mt.N.V_HL 6070.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Grape___healthy\03027791-26bb-4c46-960e-8df76e27042c___Mt.N.V_HL 6070.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Grape,PlantVillage Grape Healthy leaf,Other,Other,0.9989731311798096,Tomato,0.0008528736652806401,0.9981202575145289,True,False,Other,True
26,03423777-68b9-430e-9787-fbd776740881___FAM_B.Rot 0346.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Grape___Black_rot\03423777-68b9-430e-9787-fbd776740881___FAM_B.Rot 0346.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Grape,PlantVillage Grape Black Rot leaf,Other,Other,0.9986909031867981,Apple,0.0007844216888770461,0.997906481497921,True,False,Other,True
27,017d3d86-12bf-4280-8929-10dcd504ac46___Rutg._HL 3671.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Peach___healthy\017d3d86-12bf-4280-8929-10dcd504ac46___Rutg._HL 3671.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Peach,PlantVillage Peach Healthy leaf,Other,Other,0.98155277967453,Apple,0.017437931150197983,0.964114848524332,True,False,Other,True
28,test_00pe.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Peach___healthy\test_00pe.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Peach,PlantDoc Peach Healthy leaf,Other,Apple,0.6158159375190735,Other,0.38286471366882324,0.23295122385025024,False,False,Apple,False
29,00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Blueberry___healthy\00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Blueberry,PlantVillage Blueberry Healthy leaf,Other,Other,0.9646043181419373,Potato,0.024809520691633224,0.939794797450304,True,False,Other,True
30,test_blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Blueberry___healthy\test_blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Blueberry,PlantDoc Blueberry Healthy leaf,Other,Other,0.998833954334259,Potato,0.00042875486542470753,0.9984051994688343,True,False,Other,True
31,020e14fb-6016-4d7f-b489-445e0021b58e___Mary_HL 6324.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Raspberry___healthy\020e14fb-6016-4d7f-b489-445e0021b58e___Mary_HL 6324.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Raspberry,PlantVillage Raspberry Healthy leaf,Other,Other,0.9852279424667358,Apple,0.013098560273647308,0.9721293821930885,True,False,Other,True
32,test_depositphotos_1323264-Raspberry-leaf-on-white.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Raspberry___healthy\test_depositphotos_1323264-Raspberry-leaf-on-white.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Raspberry,PlantDoc Raspberry Healthy leaf,Other,Other,0.97651207447052,Tomato,0.012267563492059708,0.9642445109784603,True,False,Other,True
33,waitlist-banner-es.png,C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\waitlist-banner-es.png,NOT_LEAF,Screenshot_UI,Website Banner Spanish (yields Apple Cedar Rust on E11),Other,Other,0.29446932673454285,Potato,0.23344165086746216,0.06102767586708069,True,True,Other,True
34,waitlist-banner-ko.png,C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\waitlist-banner-ko.png,NOT_LEAF,Screenshot_UI,Website Banner Korean (yields Apple Cedar Rust on E11),Other,Other,0.5869365930557251,Corn,0.29630833864212036,0.29062825441360474,True,True,Other,True
35,social-preview.png,C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\social-preview.png,NOT_LEAF,Screenshot_UI,Social Preview Website Banner (yields Apple Healthy on E11),Other,Corn,0.4167451560497284,Apple,0.2908265292644501,0.12591862678527832,False,True,Other,True
36,veya-logo.png,C:\VScode\GlobeTrotter_Hackathon\frontend\public\assets\veya-logo.png,NOT_LEAF,Screenshot_UI,Web Application Logo (yields Apple Cedar Rust on E11),Other,Other,0.9130769968032837,Corn,0.04838600009679794,0.8646909967064857,True,False,Other,True
37,logo-dark.png,C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\logo-dark.png,NOT_LEAF,Screenshot_UI,Dark Theme Web Logo (yields Tomato Healthy on E11),Other,Other,0.614387035369873,Potato,0.2635542154312134,0.35083281993865967,True,False,Other,True
38,document_invoice_0.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\document_invoice_0.png,NOT_LEAF,Document_Text,Rendered Document Invoice 0,Other,Other,0.986796498298645,Corn,0.010662098415195942,0.9761343998834491,True,False,Other,True
39,document_invoice_1.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\document_invoice_1.png,NOT_LEAF,Document_Text,Rendered Document Invoice 1,Other,Other,0.9764227271080017,Corn,0.017491275444626808,0.9589314516633749,True,False,Other,True
40,document_invoice_2.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\document_invoice_2.png,NOT_LEAF,Document_Text,Rendered Document Invoice 2,Other,Other,0.9770892262458801,Corn,0.016187379136681557,0.9609018471091986,True,False,Other,True
41,document_invoice_3.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\document_invoice_3.png,NOT_LEAF,Document_Text,Rendered Document Invoice 3,Other,Other,0.9795868992805481,Corn,0.015202777460217476,0.9643841218203306,True,False,Other,True
42,trading_er_diagram.png,C:\Users\Aditya\Downloads\trading_er_diagram.png,NOT_LEAF,Document_Text,Trading System Database Schema Diagram,Other,Other,0.9978658556938171,Corn,0.0009165379451587796,0.9969493177486584,True,False,Other,True
43,Minduka_Present_Blue_Pack.png,C:\VScode\AgriSmart-AI-integration\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\Minduka_Present_Blue_Pack.png,NOT_LEAF,Object,Minduka Present Blue Pack gift box object,Other,Potato,0.43722525238990784,Other,0.43133383989334106,0.0058914124965667725,False,True,Other,True
44,formula 1.jpg,C:\Users\Aditya\Downloads\formula 1.jpg,NOT_LEAF,Object_Vehicle,Formula 1 Racing Vehicle photograph,Other,Other,0.5902307033538818,Corn,0.2547138035297394,0.33551689982414246,True,True,Other,True
45,Red Bull Racing.jpg,C:\Users\Aditya\Downloads\Red Bull Racing.jpg,NOT_LEAF,Object_Vehicle,Red Bull Racing Formula 1 Car photograph,Other,Tomato,0.6004289984703064,Other,0.22624658048152924,0.37418241798877716,False,False,Tomato,False
46,grace_hopper.jpg,C:\VScode\AgriSmart-AI-integration\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\grace_hopper.jpg,NOT_LEAF,Person,Grace Hopper portrait photograph,Other,Tomato,0.42803293466567993,Other,0.34419095516204834,0.08384197950363159,False,True,Other,True
47,Star boy.jpg,C:\Users\Aditya\Downloads\Star boy.jpg,NOT_LEAF,Person,Human portrait photograph,Other,Tomato,0.3507766127586365,Other,0.3235369920730591,0.027239620685577393,False,True,Other,True
48,retriever-icon.png,C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\retriever-icon.png,NOT_LEAF,Animal_Graphic,Golden retriever animal illustration,Other,Other,0.6578201055526733,Corn,0.12525096535682678,0.5325691401958466,True,False,Other,True
49,china.jpg,C:\VScode\AgriSmart-AI-integration\.venv\Lib\site-packages\sklearn\datasets\images\china.jpg,NOT_LEAF,Architecture,China Temple Architecture photograph,Other,Other,0.9281244874000549,Corn,0.04891053959727287,0.8792139478027821,True,False,Other,True
50,img20.jpg,C:\Windows\Web\Wallpaper\ThemeA\img20.jpg,NOT_LEAF,Landscape,Natural desert landscape wallpaper,Other,Corn,0.5862886905670166,Other,0.39304018020629883,0.19324851036071777,False,True,Other,True
51,img24.jpg,C:\Windows\Web\Wallpaper\ThemeB\img24.jpg,NOT_LEAF,Landscape,Natural landscape wallpaper,Other,Corn,0.47998619079589844,Other,0.47341230511665344,0.006573885679244995,False,True,Other,True
52,train_tomato-blight-soil-treatment-early-tomato-blight-i_762de245.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Tomato___Early_blight\train_tomato-blight-soil-treatment-early-tomato-blight-i_762de245.jpg,NOT_LEAF,Soil,Field soil bed with treatment,Other,Tomato,0.9916381239891052,Other,0.00782545655965805,0.9838126674294472,False,False,Tomato,False
53,pure_white.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\pure_white.png,DEGENERATE,Degenerate_Synthetic,"Pure White [255, 255, 255]",Other,Other,0.8788174390792847,Tomato,0.06443531811237335,0.8143821209669113,True,False,Other,True
54,pure_black.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\pure_black.png,DEGENERATE,Degenerate_Synthetic,"Pure Black [0, 0, 0]",Other,Other,0.7172669172286987,Corn,0.18390722572803497,0.5333596915006638,True,False,Other,True
55,solid_green.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\solid_green.png,DEGENERATE,Degenerate_Synthetic,"Solid Green [0, 128, 0]",Other,Other,0.9301270246505737,Tomato,0.03475211188197136,0.8953749127686024,True,False,Other,True
56,solid_brown.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\solid_brown.png,DEGENERATE,Degenerate_Synthetic,"Solid Brown [139, 69, 19]",Other,Other,0.9634164571762085,Tomato,0.015032666735351086,0.9483837904408574,True,False,Other,True
57,gaussian_noise_0.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\gaussian_noise_0.png,DEGENERATE,Degenerate_Synthetic,"Gaussian Noise mean=128, std=40",Other,Other,0.9930539727210999,Corn,0.005665394011884928,0.9873885787092149,True,False,Other,True
58,uniform_noise_0.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\uniform_noise_0.png,DEGENERATE,Degenerate_Synthetic,"Uniform Random Noise [0, 255]",Other,Other,0.9866204261779785,Corn,0.012092879973351955,0.9745275462046266,True,False,Other,True
