index,filename,path,category,source_category,description,gt_crop,gate_passed,gate_reason,green_fraction,largest_component_fraction,component_extent,component_solidity,e12_raw_pred,e12_top1_prob,e12_top2_cls,e12_top2_prob,e12_margin,e12_thresh_triggered,e12_thresh_pred,pred_A,correct_A,pred_B,correct_B,pred_C,correct_C,yolo_max_conf,yolo_accepted_035
11,leaf spot1002_.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\rahimanshu\ccmt-plant-disease-dataset\versions\1\CCMT_FInal Dataset\Maize_leaf spot\leaf spot1002_.jpg,VALID_SUPPORTED_LEAF,Field_Corn_CCMT,Field Corn Gray Leaf Spot (CCMT Uganda),Corn,True,ACCEPT_PLAUSIBLE_LEAF,0.7897,0.7792,0.779,0.883,Corn,0.9995,Other,0.0003,0.9991,False,Corn,Corn,True,Corn,True,Corn,True,0.208,False
12,Train_1049.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\nirmalsankalana\apple-leaf-disease-dataset\versions\2\data\scab\Train_1049.jpg,VALID_SUPPORTED_LEAF,Field_Apple_FGVC7,Field Apple Scab (FGVC7 Orchard),Apple,True,ACCEPT_PLAUSIBLE_LEAF,0.6664,0.5734,0.633,0.756,Apple,0.9988,Tomato,0.0006,0.9982,False,Apple,Apple,True,Apple,True,Apple,True,0.8448,True
13,Mais_Cercosporiose_-2-_jpg.rf.117b85e81d2fc749bd3c81d405999a22.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\thuanai1\fieldplant-dataset\versions\1\FieldPlant\train\Corn Gray leaf spot\Mais_Cercosporiose_-2-_jpg.rf.117b85e81d2fc749bd3c81d405999a22.jpg,VALID_SUPPORTED_LEAF,Field_Corn_FieldPlant,Field Corn GLS (FieldPlant),Corn,True,ACCEPT_PLAUSIBLE_LEAF,0.5704,0.3594,0.473,1.0,Corn,0.9987,Other,0.0012,0.9975,False,Corn,Corn,True,Corn,True,Corn,True,0.7464,True
14,h106.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\nirmalsankalana\taiwan-tomato-leaves-dataset\versions\1\data\Train\health\h106.jpg,VALID_SUPPORTED_LEAF,Field_Tomato_Taiwan,Field Tomato Healthy (Taiwan),Tomato,True,ACCEPT_PLAUSIBLE_LEAF,0.6736,0.5932,0.647,0.864,Tomato,0.9991,Potato,0.0005,0.9986,False,Tomato,Tomato,True,Tomato,True,Tomato,True,0.8128,True
15,test_3023.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Potato___Early_blight\test_3023.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Potato,PlantDoc Potato Early Blight in field,Potato,True,ACCEPT_PLAUSIBLE_LEAF,0.8574,0.851,0.851,0.962,Tomato,0.6149,Potato,0.2337,0.3812,False,Tomato,Tomato,False,Tomato,False,Tomato,False,0.9612,True
16,test_IMG_42231.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\test_IMG_42231.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Corn,PlantDoc Corn GLS in field,Corn,True,ACCEPT_PLAUSIBLE_LEAF,0.6537,0.6257,0.626,0.79,Corn,0.9991,Other,0.0006,0.9985,False,Corn,Corn,True,Corn,True,Corn,True,0.5956,True
17,test_1684.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Tomato___healthy\test_1684.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Tomato,PlantDoc Tomato Healthy in field,Tomato,True,ACCEPT_PLAUSIBLE_LEAF,0.4188,0.4114,0.411,0.553,Tomato,0.9976,Other,0.0023,0.9953,False,Tomato,Tomato,True,Tomato,True,Tomato,True,0.9418,True
18,test_052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Apple___Apple_scab\test_052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,VALID_SUPPORTED_LEAF,PlantDoc_Apple,PlantDoc Apple Scab in field,Apple,True,ACCEPT_PLAUSIBLE_LEAF,0.9997,0.9997,1.0,1.0,Apple,0.9879,Other,0.0106,0.9773,False,Apple,Apple,True,Apple,True,Apple,True,0.6298,True
19,00247bff-26dc-445a-8d11-0b2592787ec3___RS_HL 6869.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Soybean___healthy\00247bff-26dc-445a-8d11-0b2592787ec3___RS_HL 6869.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Soybean,PlantVillage Soybean Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.5214,0.5214,0.638,0.968,Other,0.8169,Tomato,0.1533,0.6636,False,Other,Other,True,Other,True,Other,True,0.1296,False
20,test_07feb_ma_sbr3.JPG.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Soybean___healthy\test_07feb_ma_sbr3.JPG.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Soybean,PlantDoc Soybean Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.5388,0.5388,0.665,0.821,Apple,0.5942,Other,0.3385,0.2557,True,Other,Apple,False,Apple,False,Other,True,0.9138,True
21,002f87b7-e1a5-49e5-a422-bb423630ded5___JR_HL 8068.JPG,"C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Pepper,_bell___healthy\002f87b7-e1a5-49e5-a422-bb423630ded5___JR_HL 8068.JPG",VALID_UNSUPPORTED_LEAF,PlantVillage_Pepper,PlantVillage Bell Pepper Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.4834,0.4833,0.62,1.0,Other,0.9961,Apple,0.0019,0.9941,False,Other,Other,True,Other,True,Other,True,0.0,False
22,03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot 8925.JPG,"C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Pepper,_bell___Bacterial_spot\03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot 8925.JPG",VALID_UNSUPPORTED_LEAF,PlantVillage_Pepper,PlantVillage Bell Pepper Bacterial Spot leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.4498,0.4495,0.497,0.872,Other,0.9721,Potato,0.0236,0.9485,False,Other,Other,True,Other,True,Other,True,0.1103,False
23,01e591c9-e3e7-4edc-8211-13081f4d5e7a___RS_HL 1979.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Strawberry___healthy\01e591c9-e3e7-4edc-8211-13081f4d5e7a___RS_HL 1979.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Strawberry,PlantVillage Strawberry Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.4707,0.4707,0.688,1.0,Other,0.6941,Apple,0.2982,0.3958,False,Other,Other,True,Other,True,Other,True,0.1251,False
24,test_strawberry-leaf--stock-photo-1431216.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Strawberry___healthy\test_strawberry-leaf--stock-photo-1431216.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Strawberry,PlantDoc Strawberry Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.347,0.347,0.515,1.0,Other,0.9654,Tomato,0.0341,0.9313,False,Other,Other,True,Other,True,Other,True,0.657,True
25,03027791-26bb-4c46-960e-8df76e27042c___Mt.N.V_HL 6070.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Grape___healthy\03027791-26bb-4c46-960e-8df76e27042c___Mt.N.V_HL 6070.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Grape,PlantVillage Grape Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.446,0.446,0.596,0.852,Other,0.999,Tomato,0.0009,0.9981,False,Other,Other,True,Other,True,Other,True,0.4403,True
26,03423777-68b9-430e-9787-fbd776740881___FAM_B.Rot 0346.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Grape___Black_rot\03423777-68b9-430e-9787-fbd776740881___FAM_B.Rot 0346.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Grape,PlantVillage Grape Black Rot leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.4639,0.4633,0.564,0.808,Other,0.9987,Apple,0.0008,0.9979,False,Other,Other,True,Other,True,Other,True,0.3182,False
27,017d3d86-12bf-4280-8929-10dcd504ac46___Rutg._HL 3671.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Peach___healthy\017d3d86-12bf-4280-8929-10dcd504ac46___Rutg._HL 3671.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Peach,PlantVillage Peach Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.1905,0.1882,0.278,1.0,Other,0.9816,Apple,0.0174,0.9641,False,Other,Other,True,Other,True,Other,True,0.0,False
28,test_00pe.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Peach___healthy\test_00pe.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Peach,PlantDoc Peach Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.6969,0.6714,0.671,0.747,Apple,0.6158,Other,0.3829,0.233,False,Apple,Apple,False,Apple,False,Apple,False,0.6134,True
29,00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Blueberry___healthy\00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Blueberry,PlantVillage Blueberry Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.2424,0.2416,0.456,1.0,Other,0.9646,Potato,0.0248,0.9398,False,Other,Other,True,Other,True,Other,True,0.0,False
30,test_blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Blueberry___healthy\test_blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Blueberry,PlantDoc Blueberry Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.5742,0.3781,0.661,1.0,Other,0.9988,Potato,0.0004,0.9984,False,Other,Other,True,Other,True,Other,True,0.8214,True
31,020e14fb-6016-4d7f-b489-445e0021b58e___Mary_HL 6324.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Raspberry___healthy\020e14fb-6016-4d7f-b489-445e0021b58e___Mary_HL 6324.JPG,VALID_UNSUPPORTED_LEAF,PlantVillage_Raspberry,PlantVillage Raspberry Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.5634,0.5634,0.701,0.949,Other,0.9852,Apple,0.0131,0.9721,False,Other,Other,True,Other,True,Other,True,0.8158,True
32,test_depositphotos_1323264-Raspberry-leaf-on-white.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Raspberry___healthy\test_depositphotos_1323264-Raspberry-leaf-on-white.jpg,VALID_UNSUPPORTED_LEAF,PlantDoc_Raspberry,PlantDoc Raspberry Healthy leaf,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.4692,0.4692,0.687,0.939,Other,0.9765,Tomato,0.0123,0.9642,False,Other,Other,True,Other,True,Other,True,0.6386,True
33,waitlist-banner-es.png,C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\waitlist-banner-es.png,NOT_LEAF,Screenshot_UI,Website Banner Spanish (yields Apple Cedar Rust on E11),Other,False,REJECT_NO_VEGETATION_COLOR,0.0003,0.0,0.0,0.0,Other,0.2945,Potato,0.2334,0.061,True,Other,Other,True,Other,True,Other,True,0.0,False
34,waitlist-banner-ko.png,C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\waitlist-banner-ko.png,NOT_LEAF,Screenshot_UI,Website Banner Korean (yields Apple Cedar Rust on E11),Other,False,REJECT_NO_VEGETATION_COLOR,0.0003,0.0,0.0,0.0,Other,0.5869,Corn,0.2963,0.2906,True,Other,Other,True,Other,True,Other,True,0.0,False
35,social-preview.png,C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\social-preview.png,NOT_LEAF,Screenshot_UI,Social Preview Website Banner (yields Apple Healthy on E11),Other,False,REJECT_NO_VEGETATION_COLOR,0.0025,0.0,0.0,0.0,Corn,0.4167,Apple,0.2908,0.1259,True,Other,Corn,False,Other,True,Other,True,0.3504,True
36,veya-logo.png,C:\VScode\GlobeTrotter_Hackathon\frontend\public\assets\veya-logo.png,NOT_LEAF,Screenshot_UI,Web Application Logo (yields Apple Cedar Rust on E11),Other,False,REJECT_FRAGMENTED_NOISE_OR_SCATTER,0.0224,0.0079,0.0,0.0,Other,0.9131,Corn,0.0484,0.8647,False,Other,Other,True,Other,True,Other,True,0.1414,False
37,logo-dark.png,C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\logo-dark.png,NOT_LEAF,Screenshot_UI,Dark Theme Web Logo (yields Tomato Healthy on E11),Other,False,REJECT_NO_VEGETATION_COLOR,0.0,0.0,0.0,0.0,Other,0.6144,Potato,0.2636,0.3508,False,Other,Other,True,Other,True,Other,True,0.1172,False
38,document_invoice_0.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\document_invoice_0.png,NOT_LEAF,Document_Text,Rendered Document Invoice 0,Other,False,REJECT_NO_VEGETATION_COLOR,0.0,0.0,0.0,0.0,Other,0.9868,Corn,0.0107,0.9761,False,Other,Other,True,Other,True,Other,True,0.0,False
39,document_invoice_1.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\document_invoice_1.png,NOT_LEAF,Document_Text,Rendered Document Invoice 1,Other,False,REJECT_NO_VEGETATION_COLOR,0.0,0.0,0.0,0.0,Other,0.9764,Corn,0.0175,0.9589,False,Other,Other,True,Other,True,Other,True,0.0,False
40,document_invoice_2.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\document_invoice_2.png,NOT_LEAF,Document_Text,Rendered Document Invoice 2,Other,False,REJECT_NO_VEGETATION_COLOR,0.0,0.0,0.0,0.0,Other,0.9771,Corn,0.0162,0.9609,False,Other,Other,True,Other,True,Other,True,0.0,False
41,document_invoice_3.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\document_invoice_3.png,NOT_LEAF,Document_Text,Rendered Document Invoice 3,Other,False,REJECT_NO_VEGETATION_COLOR,0.0,0.0,0.0,0.0,Other,0.9796,Corn,0.0152,0.9644,False,Other,Other,True,Other,True,Other,True,0.0,False
42,trading_er_diagram.png,C:\Users\Aditya\Downloads\trading_er_diagram.png,NOT_LEAF,Document_Text,Trading System Database Schema Diagram,Other,False,REJECT_NO_VEGETATION_COLOR,0.0,0.0,0.0,0.0,Other,0.9979,Corn,0.0009,0.9969,False,Other,Other,True,Other,True,Other,True,0.8723,True
43,Minduka_Present_Blue_Pack.png,C:\VScode\AgriSmart-AI-integration\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\Minduka_Present_Blue_Pack.png,NOT_LEAF,Object,Minduka Present Blue Pack gift box object,Other,False,REJECT_NO_VEGETATION_COLOR,0.0,0.0,0.0,0.0,Potato,0.4372,Other,0.4313,0.0059,True,Other,Potato,False,Other,True,Other,True,0.54,True
44,formula 1.jpg,C:\Users\Aditya\Downloads\formula 1.jpg,NOT_LEAF,Object_Vehicle,Formula 1 Racing Vehicle photograph,Other,False,REJECT_FRAGMENTED_NOISE_OR_SCATTER,0.0222,0.0062,0.0,0.0,Other,0.5902,Corn,0.2547,0.3355,True,Other,Other,True,Other,True,Other,True,0.0,False
45,Red Bull Racing.jpg,C:\Users\Aditya\Downloads\Red Bull Racing.jpg,NOT_LEAF,Object_Vehicle,Red Bull Racing Formula 1 Car photograph,Other,False,REJECT_NO_VEGETATION_COLOR,0.0069,0.0,0.0,0.0,Tomato,0.6004,Other,0.2262,0.3742,False,Tomato,Tomato,False,Other,True,Other,True,0.3284,False
46,grace_hopper.jpg,C:\VScode\AgriSmart-AI-integration\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\grace_hopper.jpg,NOT_LEAF,Person,Grace Hopper portrait photograph,Other,False,REJECT_NO_VEGETATION_COLOR,0.0023,0.0,0.0,0.0,Tomato,0.428,Other,0.3442,0.0838,True,Other,Tomato,False,Other,True,Other,True,0.4832,True
47,Star boy.jpg,C:\Users\Aditya\Downloads\Star boy.jpg,NOT_LEAF,Person,Human portrait photograph,Other,False,REJECT_NO_VEGETATION_COLOR,0.0001,0.0,0.0,0.0,Tomato,0.3508,Other,0.3235,0.0272,True,Other,Tomato,False,Other,True,Other,True,0.0,False
48,retriever-icon.png,C:\VScode\GlobeTrotter_Hackathon\.agents\skills\ponytail\assets\retriever-icon.png,NOT_LEAF,Animal_Graphic,Golden retriever animal illustration,Other,False,REJECT_NO_VEGETATION_COLOR,0.0015,0.0,0.0,0.0,Other,0.6578,Corn,0.1253,0.5326,False,Other,Other,True,Other,True,Other,True,0.691,True
49,china.jpg,C:\VScode\AgriSmart-AI-integration\.venv\Lib\site-packages\sklearn\datasets\images\china.jpg,NOT_LEAF,Architecture,China Temple Architecture photograph,Other,True,ACCEPT_PLAUSIBLE_LEAF,0.163,0.0639,0.428,1.0,Other,0.9281,Corn,0.0489,0.8792,False,Other,Other,True,Other,True,Other,True,0.8195,True
50,img20.jpg,C:\Windows\Web\Wallpaper\ThemeA\img20.jpg,NOT_LEAF,Landscape,Natural desert landscape wallpaper,Other,False,REJECT_DEGENERATE_ZERO_TEXTURE,0.0,0.0,0.0,0.0,Corn,0.5863,Other,0.393,0.1932,True,Other,Corn,False,Other,True,Other,True,0.0,False
51,img24.jpg,C:\Windows\Web\Wallpaper\ThemeB\img24.jpg,NOT_LEAF,Landscape,Natural landscape wallpaper,Other,False,REJECT_NO_VEGETATION_COLOR,0.0064,0.0,0.0,0.0,Corn,0.48,Other,0.4734,0.0066,True,Other,Corn,False,Other,True,Other,True,0.9561,True
52,train_tomato-blight-soil-treatment-early-tomato-blight-i_762de245.jpg,C:\VScode\AgriSmart-AI-main\data\plantdoc\external_test\Tomato___Early_blight\train_tomato-blight-soil-treatment-early-tomato-blight-i_762de245.jpg,NOT_LEAF,Soil,Field soil bed with treatment,Other,False,REJECT_SPRAWLING_FIELD_BACKGROUND,0.2351,0.2121,0.233,0.363,Tomato,0.9916,Other,0.0078,0.9838,False,Tomato,Tomato,False,Other,True,Other,True,0.8839,True
53,pure_white.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\pure_white.png,DEGENERATE,Degenerate_Synthetic,"Pure White [255, 255, 255]",Other,False,REJECT_DEGENERATE_FLAT_COLOR,0.0,0.0,0.0,0.0,Other,0.8788,Tomato,0.0644,0.8144,False,Other,Other,True,Other,True,Other,True,0.0,False
54,pure_black.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\pure_black.png,DEGENERATE,Degenerate_Synthetic,"Pure Black [0, 0, 0]",Other,False,REJECT_DEGENERATE_FLAT_COLOR,0.0,0.0,0.0,0.0,Other,0.7173,Corn,0.1839,0.5334,False,Other,Other,True,Other,True,Other,True,0.0,False
55,solid_green.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\solid_green.png,DEGENERATE,Degenerate_Synthetic,"Solid Green [0, 128, 0]",Other,False,REJECT_DEGENERATE_ZERO_TEXTURE,0.0,0.0,0.0,0.0,Other,0.9301,Tomato,0.0348,0.8954,False,Other,Other,True,Other,True,Other,True,0.0,False
56,solid_brown.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\solid_brown.png,DEGENERATE,Degenerate_Synthetic,"Solid Brown [139, 69, 19]",Other,False,REJECT_DEGENERATE_ZERO_TEXTURE,0.0,0.0,0.0,0.0,Other,0.9634,Tomato,0.015,0.9484,False,Other,Other,True,Other,True,Other,True,0.0,False
57,gaussian_noise_0.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\gaussian_noise_0.png,DEGENERATE,Degenerate_Synthetic,"Gaussian Noise mean=128, std=40",Other,False,REJECT_FRAGMENTED_NOISE_OR_SCATTER,0.3153,0.0038,0.0,0.0,Other,0.9931,Corn,0.0057,0.9874,False,Other,Other,True,Other,True,Other,True,0.0,False
58,uniform_noise_0.png,C:\VScode\AgriSmart-AI-integration\experiments\e11_phase2_ood\artifacts_suite\uniform_noise_0.png,DEGENERATE,Degenerate_Synthetic,"Uniform Random Noise [0, 255]",Other,False,REJECT_FRAGMENTED_NOISE_OR_SCATTER,0.3305,0.0088,0.0,0.0,Other,0.9866,Corn,0.0121,0.9745,False,Other,Other,True,Other,True,Other,True,0.0,False
